id;title;title_en;title_jp;title_alias;type;source;num_episodes;status;duration;rating;score;scored_by;score_rank;popularity_rank;members;favorites;season;year;producers;licensors;studios;genres;explicit_genres;themes;target_audience;image_link;airing_date;end_date;full_airing_date;broadcast_day
1;Cowboy Bebop;Cowboy Bebop;カウボーイビバップ;;TV;Original;26;Finished Airing;24 min per ep;R - 17+ (violence & profanity);8.75;870500;38;43;1685128;74936;spring;1998;Bandai Visual;Funimation, Bandai Entertainment;Sunrise;Action, Sci-Fi;;Adult Cast, Space;;https://cdn.myanimelist.net/images/anime/4/19644.jpg;1998-04-03;1999-04-24;Apr 3, 1998 to Apr 24, 1999;Saturdays
5;Cowboy Bebop: Tengoku no Tobira;Cowboy Bebop: The Movie;カウボーイビバップ 天国の扉;Cowboy Bebop: Knockin' on Heaven's Door;Movie;Original;1;Finished Airing;1 hr 55 min;R - 17+ (violence & profanity);8.38;198824;182;582;346041;1360;;;Sunrise, Bandai Visual;Sony Pictures Entertainment;Bones;Action, Sci-Fi;;Adult Cast, Space;;https://cdn.myanimelist.net/images/anime/1439/93480.jpg;2001-09-01;;Sep 1, 2001;
6;Trigun;Trigun;トライガン;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;8.22;338663;318;245;684576;13909;spring;1998;Victor Entertainment;Funimation, Geneon Entertainment USA;Madhouse;Action, Adventure, Comedy, Drama, Sci-Fi;;Adult Cast;Shounen;https://cdn.myanimelist.net/images/anime/7/20310.jpg;1998-04-01;1998-09-30;Apr 1, 1998 to Sep 30, 1998;Thursdays
7;Witch Hunter Robin;Witch Hunter Robin;Witch Hunter ROBIN (ウイッチハンターロビン);WHR;TV;Original;26;Finished Airing;25 min per ep;PG-13 - Teens 13 or older;7.25;42088;2753;1722;108368;592;summer;2002;TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment;Funimation, Bandai Entertainment;Sunrise;Action, Drama, Mystery, Supernatural;;Detective;;https://cdn.myanimelist.net/images/anime/10/19969.jpg;2002-07-03;2002-12-25;Jul 3, 2002 to Dec 25, 2002;
8;Bouken Ou Beet;Beet the Vandel Buster;冒険王ビィト;Adventure King Beet;TV;Manga;52;Finished Airing;23 min per ep;PG - Children;6.94;6306;4192;4961;14596;14;fall;2004;TV Tokyo, Dentsu;Illumitoon Entertainment;Toei Animation;Adventure, Fantasy, Supernatural;;;Shounen;https://cdn.myanimelist.net/images/anime/7/21569.jpg;2004-09-30;2005-09-29;Sep 30, 2004 to Sep 29, 2005;Thursdays
15;Eyeshield 21;;アイシールド21;Eyeshield21;TV;Manga;145;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.92;84627;686;1195;172677;1941;spring;2005;TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha;VIZ Media, Sentai Filmworks;Gallop;Sports;;Team Sports;Shounen;https://cdn.myanimelist.net/images/anime/12/66961.jpg;2005-04-06;2008-03-19;Apr 6, 2005 to Mar 19, 2008;Wednesdays
16;Hachimitsu to Clover;Honey and Clover;ハチミツとクローバー;HachiKuro, Honey & Clover;TV;Manga;24;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;8.01;80198;566;822;252450;4084;spring;2005;Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha;VIZ Media, Discotek Media;J.C.Staff;Comedy, Drama, Romance, Slice of Life;;Love Polygon, Visual Arts;Josei;https://cdn.myanimelist.net/images/anime/11/73923.jpg;2005-04-15;2005-09-27;Apr 15, 2005 to Sep 27, 2005;Fridays
17;Hungry Heart: Wild Striker;;ハングリーハート Wild Striker;;TV;Manga;52;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.55;12686;1528;4072;23428;230;fall;2002;;;Nippon Animation;Comedy, Slice of Life, Sports;;Team Sports;Shounen;https://cdn.myanimelist.net/images/anime/12/49655.jpg;2002-09-11;2003-09-10;Sep 11, 2002 to Sep 10, 2003;
18;Initial D Fourth Stage;;頭文字〈イニシャル〉D FOURTH STAGE;Initial D 4th Stage;TV;Manga;24;Finished Airing;27 min per ep;PG-13 - Teens 13 or older;8.15;92143;393;1257;161797;1179;spring;2004;OB Planning, Studio Jack;Funimation;A.C.G.T.;Action, Drama;;Racing;Seinen;https://cdn.myanimelist.net/images/anime/9/10521.jpg;2004-04-17;2006-02-18;Apr 17, 2004 to Feb 18, 2006;
19;Monster;Monster;モンスター;;TV;Manga;74;Finished Airing;24 min per ep;R+ - Mild Nudity;8.85;328391;25;150;914605;42098;spring;2004;VAP, Shogakukan-Shueisha Productions, Nippon Television Network;VIZ Media;Madhouse;Drama, Mystery, Suspense;;Adult Cast, Psychological;Seinen;https://cdn.myanimelist.net/images/anime/10/18793.jpg;2004-04-07;2005-09-28;Apr 7, 2004 to Sep 28, 2005;Wednesdays
20;Naruto;Naruto;ナルト;NARUTO;TV;Manga;220;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.98;1805610;609;8;2588689;72910;fall;2002;TV Tokyo, Aniplex, Shueisha;VIZ Media;Pierrot;Action, Adventure, Fantasy;;Martial Arts;Shounen;https://cdn.myanimelist.net/images/anime/13/17405.jpg;2002-10-03;2007-02-08;Oct 3, 2002 to Feb 8, 2007;Thursdays
21;One Piece;One Piece;ONE PIECE;OP;TV;Manga;;Currently Airing;24 min;PG-13 - Teens 13 or older;8.67;1144862;59;23;2005528;182479;fall;1999;Fuji TV, TAP, Shueisha;Funimation, 4Kids Entertainment;Toei Animation;Action, Adventure, Fantasy;;;Shounen;https://cdn.myanimelist.net/images/anime/6/73245.jpg;1999-10-20;;Oct 20, 1999 to ?;Sundays
22;Tennis no Ouji-sama;The Prince of Tennis;テニスの王子様;TeniPuri, PoT;TV;Manga;178;Finished Airing;22 min per ep;PG-13 - Teens 13 or older;7.87;80157;768;1202;171742;2957;fall;2001;Production I.G, Nihon Ad Systems;Funimation, VIZ Media;Trans Arts;Sports;;School;Shounen;https://cdn.myanimelist.net/images/anime/6/21624.jpg;2001-10-10;2005-03-23;Oct 10, 2001 to Mar 23, 2005;Wednesdays
24;School Rumble;School Rumble;スクールランブル;;TV;Manga;26;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.89;144059;734;651;313030;5060;fall;2004;TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack;Funimation;Studio Comet;Comedy, Romance;;Gag Humor, Love Polygon, School;Shounen;https://cdn.myanimelist.net/images/anime/4/75488.jpg;2004-10-05;2005-03-29;Oct 5, 2004 to Mar 29, 2005;Tuesdays
25;Sunabouzu;Desert Punk;砂ぼうず;Sunabozu;TV;Manga;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.39;52425;2116;1484;129987;807;fall;2004;GDH, Pony Canyon, CBC Television;Funimation;Gonzo;Action, Adventure, Comedy, Sci-Fi, Ecchi;;;Shounen;https://cdn.myanimelist.net/images/anime/6/75536.jpg;2004-10-06;2005-03-30;Oct 6, 2004 to Mar 30, 2005;
26;Texhnolyze;Texhnolyze;TEXHNOLYZE;Technolyze;TV;Original;22;Finished Airing;23 min per ep;R+ - Mild Nudity;7.76;52873;993;911;228262;4524;spring;2003;Group TAC, Rondo Robe, Fuji TV, Pioneer LDC;Funimation, Geneon Entertainment USA;Madhouse;Action, Drama, Sci-Fi;;Psychological;;https://cdn.myanimelist.net/images/anime/3/18165.jpg;2003-04-17;2003-09-25;Apr 17, 2003 to Sep 25, 2003;Thursdays
27;Trinity Blood;Trinity Blood;トリニティ・ブラッド;;TV;Light novel;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.3;78050;2496;1168;175310;1274;spring;2005;;Funimation;Gonzo;Action, Supernatural;;Vampire;;https://cdn.myanimelist.net/images/anime/10/24649.jpg;2005-04-29;2005-10-28;Apr 29, 2005 to Oct 28, 2005;Fridays
28;Yakitate!! Japan;Yakitate!! Japan;焼きたて!! ジャぱん;Freshly Baked!! Ja-pan!;TV;Manga;69;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.92;39705;686;1913;92815;875;fall;2004;TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa;Nozomi Entertainment;Sunrise;Comedy, Gourmet;;;Shounen;https://cdn.myanimelist.net/images/anime/3/76432.jpg;2004-10-12;2006-03-14;Oct 12, 2004 to Mar 14, 2006;
29;Zipang;;ジパング;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.48;6959;1784;4342;20218;172;fall;2004;Marvelous, TBS;Geneon Entertainment USA;Studio Deen;Action, Drama, Sci-Fi;;Adult Cast, Historical, Military, Time Travel;Seinen;https://cdn.myanimelist.net/images/anime/13/75740.jpg;2004-10-08;2005-04-01;Oct 8, 2004 to Apr 1, 2005;
30;Neon Genesis Evangelion;Neon Genesis Evangelion;新世紀エヴァンゲリオン;Shinseiki Evangelion;TV;Original;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;8.34;972432;207;46;1628265;95687;fall;1995;TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka;ADV Films, GKIDS;Gainax, Tatsunoko Production;Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense;;Mecha, Psychological;;https://cdn.myanimelist.net/images/anime/1314/108941.jpg;1995-10-04;1996-03-27;Oct 4, 1995 to Mar 27, 1996;Wednesdays
